	murra668_20180508_qc_15	murra668_20180508_qc_16	murra668_20180508_qc_17	murra668_20180508_qc_18	murra668_20180508_qc_19	murra668_20180508_qc_20	murra668_20180508_qc_21	murra668_20180508_qc_22	murra668_20180508_qc_23	murra668_20180508_qc_24
M366T667	5115247.5028391	4885809.30923529	6037184.56270452	5244407.15016547	5260625.49115347	4819725.20285828	5382536.78843503	5234656.57154807	5605048.10279991	6085702.11829025
M369T394	109861222.026196	111206636.754388	108646039.923411	110647672.521958	105141484.050812	96398558.9650557	97137906.4745073	97406244.0021939	91101969.0845431	97972083.899542
M369T485	691523578.031203	711361341.291495	715614230.900222	703257655.582792	663844110.128834	626419744.4822	657022586.959693	629444419.028534	623508072.734719	642613054.325578
M370T394	21756760.3620918	4644400.90133324	10817428.3417915	921619.904937744	1044308.41655469	15188361.5024515	15810079.0950284	21009419.8642688	7572306.16645921	3067196.7178632
M370T485	190158026.486625	192932498.911522	185832411.714651	189324477.282309	172739287.097605	144684200.487518	163859170.638932	161414723.578423	163883279.721991	164952024.814936
M371T340	42782470.1214446	41883058.7908349	40996755.2912781	39365040.3863897	38728021.1571682	34194637.5611542	35452458.8854062	36283756.5330367	33986873.6827314	36632872.7310147
M371T482	55911946.1388582	58258213.5210576	54737147.7735718	57313458.1996893	53844904.4489289	46753973.3281678	51347521.2681099	48393677.3214068	48968799.1046235	48474386.7093424
M375T336	3446735.25352876	3805335.60535137	3368678.54356801	3724648.47963696	3201825.93605357	3397223.93051351	3119141.9033605	3166239.20506874	3177840.08928174	3326762.29142802
M377T209	72334287.7985412	68213955.4346249	64820756.4684775	66737057.5446436	62287971.0292981	62536444.5264684	60326129.4110347	59957695.1675306	61758226.9339334	62578529.2264802
M381T815	7118276.49229441	6718478.24001038	6736357.65920188	6392277.15994419	5989506.84360001	6248182.40544343	6163172.15115348	6033542.16387407	6453194.00980409	5639038.21368634
M385T437	5449061.0956597	5400245.08871251	5350509.9186011	5392646.15611735	4698617.12520305	4602487.1532477	4672478.62950298	4377274.05999633	4825405.82096306	4815697.09331339
M387T547	6187309.2290703	7312301.73300427	8011345.84141549	6643240.33905659	5224467.3969898	6402646.61711542	5148405.2490737	4896872.3052857	4893269.40604598	5127709.93495945
