variableMetadata	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pool	isotopes	adduct	pcgroup
M361T353	M361.1376T353.37	361.137565100817	361.131609988668	361.144088000047	353.365798950195	353.204681396484	353.372436523438	10	10	[15][M]+		4
M362T353	M362.1252T353.29	362.125178327512	362.117377623043	362.128481985481	353.286987304688	353.204925537109	353.527496337891	8	8	[15][M+1]+		4
M363T353	M363.1001T353.21	363.100105042286	363.096875271286	363.10867732028	353.207214355469	353.204925537109	353.527496337891	7	7			4
M365T238	M365.0128T237.76	365.012783376949	365.008033675768	365.015583616078	237.764007568359	237.742248535156	237.919128417969	5	5			19
M365T667	M365.1461T667.25	365.146064890006	365.140871147093	365.149528971348	667.254699707031	667.08837890625	667.427978515625	9	9	[16][M]+		31
M366T667	M366.1442T667.25	366.144158622822	366.136500754955	366.146483072603	667.254699707031	666.906799316406	667.427978515625	7	7	[16][M+1]+		31
M369T394	M369.068T393.73	369.068015746552	369.065511537957	369.071419625524	393.727951049805	393.608642578125	393.89453125	10	10			16
M369T485	M369.078T484.61	369.078004119446	369.07444519404	369.080159997607	484.610473632812	484.502593994141	484.765502929688	10	10	[17][M]+		2
M370T394	M370.0422T394.06	370.04223957185	370.041259837569	370.044345728199	394.055786132812	392.253234863281	396.637390136719	7	7			16
M370T485	M370.0612T484.61	370.061240706234	370.057023132267	370.068955984002	484.6068	484.462158203125	484.770324707031	9	9	[17][M+1]+		2
M371T340	M371.0761T339.94	371.076062334478	371.070995766747	371.080233716183	339.943328857422	339.776977539062	340.068054199219	8	8			14
M371T482	M371.0741T482.01	371.074081130648	371.069625848385	371.082107582884	482.012179296875	481.113891601562	482.514526367188	8	8			17
M375T336	M375.0983T335.95	375.098287637512	375.090385163992	375.10333419851	335.947204589844	335.75927734375	336.315704345703	9	9			47
M377T209	M377.0091T208.79	377.009148329159	377.00683872565	377.011707064344	208.788925170898	208.616470336914	208.953689575195	9	9		[M+Na]+ 354.014	12
M381T815	M381.2628T814.54	381.262789568882	381.254773399152	381.266625156751	814.537780761719	813.99365234375	814.619079589844	5	5			40
M385T437	M385.0685T436.99	385.068461363517	385.065568744495	385.072247008556	436.987182617188	436.823699951172	437.163757324219	10	10			32
M387T547	M387.2039T546.63	387.20388294676	387.195158597413	387.207363580664	546.633544921875	546.621032714844	546.961181640625	5	5			39
M391T729	M391.1989T729.47	391.198910867542	391.195193706158	391.204335380552	729.472229003906	728.783874511719	730.494018554688	9	9	[18][M]+		25
M392T730	M392.1841T729.81	392.184106233941	392.182825600416	392.190964168939	729.810363769531	728.784	730.326599121094	5	5	[18][M+1]+		25
M403T434	M403.142T433.95	403.14201586458	403.13537679258	403.145270565058	433.948181152344	433.818298339844	434.121917724609	8	8			46
M409T545	M409.2499T545.41	409.249918043232	409.248335922708	409.258575197155	545.408020019531	545.166687011719	545.654052734375	6	6		[M+H]+ 408.242	7
M413T730	M413.2154T729.64	413.215419513611	413.207523132083	413.216436995608	729.639181884766	728.958190917969	730.662292480469	10	10			25
M426T545	M426.2725T545.33	426.272451421113	426.268445465434	426.274688528558	545.325988769531	545.00537109375	545.654052734375	5	5	[19][M]+	[M+H+NH3]+ 408.242	7
M427T545	M427.2733T545.33	427.273271104349	427.268085414924	427.279450536096	545.332336425781	545.164672851562	545.82	5	5	[19][M+1]+		7
M431T545	M431.2331T545.49	431.233059099968	431.229352731589	431.235938052123	545.490295410156	545.333557128906	545.658081054688	6	6		[M+Na]+ 408.242	7
M432T545	M432.2076T545.33	432.207647085386	432.203371201929	432.21525098094	545.331634521484	545.325988769531	545.646606445312	6	6			7
M450T341	M450.0822T340.93	450.082183725153	450.076719509966	450.086803525995	340.925018310547	340.753784179688	341.070831298828	9	9			59
M451T341	M451.0626T341.08	451.062557742438	451.056180909159	451.069961040006	341.079940795898	340.753784179688	341.096008300781	6	6			14
M458T518	M458.0605T518.35	458.060499847774	458.054181288521	458.066773408118	518.35498046875	517.498291015625	518.762268066406	9	9			28
M459T518	M459.0088T518.36	459.008798881558	459.000717641705	459.012691835917	518.361511230469	518.226806640625	518.762268066406	9	9			28
M460T518	M459.9905T518.42	459.990509711581	459.982740606942	459.99519274884	518.422668457031	518.226806640625	518.762268066406	9	9			28
M470T544	M470.3048T544.19	470.30475122538	470.299639814921	470.308485909032	544.190612792969	544.01904296875	544.355529785156	5	5			56
M471T466	M470.9995T465.73	470.999469629383	470.991231681313	471.005206466613	465.733673095703	465.60498046875	465.782012939453	8	8		[3M+2Na+K-H]2+ 286.018	22
M472T341	M472.0567T340.93	472.056678177154	472.051041027274	472.060763668407	340.928403417969	340.753784179688	341.233795166016	8	8			14
M473T498	M473.0174T498.09	473.017407017898	473.010268568332	473.022193665957	498.086937133789	497.918090820312	498.237243652344	6	6			35
M475T480	M475.0277T479.75	475.027678382703	475.020143414943	475.032548722758	479.7498	479.573699951172	479.849426269531	7	7	[20][M]+		33
M475T544	M475.264T544.04	475.264000055644	475.260656310476	475.272587892387	544.039978027344	543.874938964844	544.362426757812	5	5			57
M476T480	M476.0156T479.75	476.015581879778	476.013192943157	476.021204532193	479.745230810547	479.416015625	479.879364013672	6	6	[20][M+1]+		33
M493T758	M493.1566T758.46	493.156628721013	493.1465305572	493.159801093925	758.462219238281	758.303466796875	758.466	5	5			8
M497T209	M496.9306T209.27	496.930597951339	496.922060358691	496.933384010017	209.272705078125	209.098968505859	209.598	7	7			12
M529T342	M529.0911T341.75	529.091059182183	529.086544008866	529.097698341381	341.745541162109	341.578521728516	341.850860595703	6	6			18
M530T342	M530.0633T341.75	530.063281221528	530.054229436526	530.067711026132	341.74845559082	341.576538085938	341.916320800781	6	6			18
